Serial,Id_Unico,Equipo,Marca,Modelo,Servicio,Nueva_Ubicacion,Fuentes
17951848,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,UCI PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17951891,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,UCI PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17951899,17951899.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,HOSPITALIZACIÓN GINECO-OBSTETRICIA,UCI PEDIATRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
17951981,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17951990,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17952019,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17952171,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17952250,17952250.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,HOSPITALIZACIÓN QUIRÚRGICAS,HOSPITALIZACIÓN ADULTOS PISO 5,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
17952346,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,UCI PEDIATRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17952427,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17952541,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17952558,17952558.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,HOSPITALIZACIÓN ADULTOS 5° PISO,HOSPITALIZACIÓN ADULTOS PISO 5,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
17952581,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,UCI PEDIATRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17952629,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17955790,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17955919,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17956569,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ Wireless,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
17956711,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
18462959,18462959.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
21395660,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21396534,21396534.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN ADULTOS EXPANSIÓN,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST, INV_2025"
21396678,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21396712,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
21396718,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21396761,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,URGENCIAS PEDIATRÍA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397089,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN PEDIÁTRICA,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397112,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,,URGENCIAS ADULTOS,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397113,21397113.0,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,BLOQUE QUIRÚRGICO,HOSPITALIZACIÓN CIRUGÍA,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST, INV_2025"
21397138,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,HOSPITALIZACIÓN ADULTOS PISO 4,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397164,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_MAIN, ICU_MEDICAL_LIST"
21397173,,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,,,"BOMBAS_2026_PENDIENTES, ICU_MEDICAL_LIST"
