Id_Unico,Equipo,Marca,Modelo,Servicio,Ubicacion,Nueva_Ubicacion,Fuentes,Serial
18448202,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,INV_2025,18448202
18463231,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,INV_2025,18463231
18462912,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,INV_2025,18462912
18448276,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,INV_2025,18448276
21398010,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,INV_2025,21398010
18459988,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,INV_2025,18459988
18448164,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,INV_2025,18448164
21397929,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,"INV_2025, BOMBAS_2026",21397929
21397419,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),H. ADULTOS EXPANSION 3 PISO,,"INV_2025, BOMBAS_2026",21397419
18447014,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN PEDIATRÍA (Ruta Dorada),,,INV_2025,18447014
75240403,BOMBA DE INFUSIÓN,ICU MEDICAL,PLUM A+ ,HOSPITALIZACIÓN QUIRÚRGICAS,,,INV_2025,75240403
